2022-04-13 20:29:29,880 {'vecid': 242606374551181, 'locationx': 31.348310336944007, 'locationy': 30.061135051902394, 'velocityx': 8.360649625544367e-06, 'velocityy': -7.5337737357068675e-06, 'acceleration': 3.09188413631611e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:29:34,872 {'vecid': 242606374551181, 'locationx': 31.348276072379104, 'locationy': 30.061137595900842, 'velocityx': -7.36328724336608e-06, 'velocityy': -3.7539198514520207e-06, 'acceleration': 3.8069120839924992e-06, 'stop': 0, 'angle': 90.00279823714243}
2022-04-13 20:29:39,909 {'vecid': 242606374551181, 'locationx': 31.348226820456393, 'locationy': 30.061148951721606, 'velocityx': -2.307794159552855e-05, 'velocityy': 1.7960745624660459e-06, 'acceleration': 4.273845322857495e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:29:44,868 {'vecid': 242606374551181, 'locationx': 31.348175846600707, 'locationy': 30.061167838060825, 'velocityx': -3.410271398166931e-05, 'velocityy': 8.125567561908979e-06, 'acceleration': 4.017132181895233e-06, 'stop': 0, 'angle': 90.00279823714243}
2022-04-13 20:29:49,890 {'vecid': 242606374551181, 'locationx': 31.348118859642735, 'locationy': 30.061192248952324, 'velocityx': -4.3273109267944035e-05, 'velocityy': 1.4265732630594615e-05, 'acceleration': 3.66468000894389e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:29:54,888 {'vecid': 242606374551181, 'locationx': 31.348060153026903, 'locationy': 30.061226756438273, 'velocityx': -4.9720847255869485e-05, 'velocityy': 2.181320305696778e-05, 'acceleration': 3.279113003815954e-06, 'stop': 0, 'angle': 12.100727839449121}
2022-04-13 20:29:59,894 {'vecid': 242606374551181, 'locationx': 31.347997824709132, 'locationy': 30.06125884588106, 'velocityx': -5.4988980145676626e-05, 'velocityy': 2.6006789088146046e-05, 'acceleration': 2.7162306048663567e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:30:04,893 {'vecid': 242606374551181, 'locationx': 31.347936881664303, 'locationy': 30.061287616110988, 'velocityx': -5.7793780378063616e-05, 'velocityy': 2.75104388122186e-05, 'acceleration': 1.943752322667569e-06, 'stop': 0, 'angle': 90.00279817572857}
2022-04-13 20:30:09,873 {'vecid': 242606374551181, 'locationx': 31.347884459061444, 'locationy': 30.061319203102595, 'velocityx': -5.648834789178313e-05, 'velocityy': 2.9294999866369612e-05, 'acceleration': 1.1317334444084872e-06, 'stop': 0, 'angle': 12.106078201956166}
2022-04-13 20:30:14,898 {'vecid': 242606374551181, 'locationx': 31.34782746763167, 'locationy': 30.06135816652175, 'velocityx': -5.6916598054133975e-05, 'velocityy': 3.292356672499e-05, 'acceleration': 1.058517981382732e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:30:19,895 {'vecid': 242606374551181, 'locationx': 31.347781534301895, 'locationy': 30.061398966640912, 'velocityx': -5.328976791241147e-05, 'velocityy': 3.596526125653061e-05, 'acceleration': 9.420170205762144e-07, 'stop': 0, 'angle': 12.111428232694266}
2022-04-13 20:30:24,877 {'vecid': 242606374551181, 'locationx': 31.347747846520026, 'locationy': 30.061450287011088, 'velocityx': -4.6460696090751824e-05, 'velocityy': 4.15800355572937e-05, 'acceleration': 1.574069014523007e-06, 'stop': 0, 'angle': 360.0}
2022-04-13 20:30:29,881 {'vecid': 242606374551181, 'locationx': 31.347734305657102, 'locationy': 30.061496603887313, 'velocityx': -3.4767183139047765e-05, 'velocityy': 4.363812011713573e-05, 'acceleration': 2.2532880825653185e-06, 'stop': 0, 'angle': 360.0}
