2022-03-16 13:01:21,101 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:01:58,720 {'vecid': 242606374551181, 'locationx': 31.281145, 'locationy': 30.061731666666667, 'velocityx': -0.00024166666666758374, 'velocityy': 0.00030999999999892225, 'acceleration': 0.0003930684136095812, 'stop': 0, 'angle': 142.06109397338412}
2022-03-16 13:02:01,723 {'vecid': 242606374551181, 'locationx': 31.280565, 'locationy': 30.062488333333334, 'velocityx': -0.0005799999999993588, 'velocityy': 0.0007566666666676269, 'acceleration': 0.0009533857794435335, 'stop': 0, 'angle': 142.52911971537372}
2022-03-16 13:02:01,723 {'vecid': 242606374551181, 'locationx': 31.280565, 'locationy': 30.062488333333334, 'velocityx': -0.0005799999999993588, 'velocityy': 0.0007566666666676269, 'acceleration': 0.0009533857794435335, 'stop': 0, 'angle': 142.52911971537372}
2022-03-16 13:02:04,733 {'vecid': 242606374551181, 'locationx': 31.277526666666667, 'locationy': 30.06643, 'velocityx': -0.003038333333332588, 'velocityy': 0.003941666666666066, 'acceleration': 0.0049767665763572125, 'stop': 0, 'angle': 142.3740829633271}
2022-03-16 13:02:04,733 {'vecid': 242606374551181, 'locationx': 31.277526666666667, 'locationy': 30.06643, 'velocityx': -0.003038333333332588, 'velocityy': 0.003941666666666066, 'acceleration': 0.0049767665763572125, 'stop': 0, 'angle': 142.3740829633271}
2022-03-16 13:02:07,623 {'vecid': 242606374551181, 'locationx': 31.27753166666667, 'locationy': 30.066448333333334, 'velocityx': 5.000000001587068e-06, 'velocityy': 1.8333333333231394e-05, 'acceleration': 1.9002923751971538e-05, 'stop': 0, 'angle': 15.255118707755216}
2022-03-16 13:02:07,623 {'vecid': 242606374551181, 'locationx': 31.27753166666667, 'locationy': 30.066448333333334, 'velocityx': 5.000000001587068e-06, 'velocityy': 1.8333333333231394e-05, 'acceleration': 1.9002923751971538e-05, 'stop': 0, 'angle': 15.255118707755216}
2022-03-16 13:02:10,702 {'vecid': 242606374551181, 'locationx': 31.27753166666667, 'locationy': 30.066448333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 15.255118707755216}
2022-03-16 13:02:10,702 {'vecid': 242606374551181, 'locationx': 31.27753166666667, 'locationy': 30.066448333333334, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': 0, 'angle': 15.255118707755216}
2022-03-16 13:02:13,635 {'vecid': 242606374551181, 'locationx': 22.001231666666666, 'locationy': 39.638526666666664, 'velocityx': -9.276300000000003, 'velocityy': 9.57207833333333, 'acceleration': 13.329457052313474, 'stop': 0, 'angle': 135.89904070239217}
