2022-05-08 10:52:31,280 INFO {'vecid': 242606374551181, 'locationx': 31.275935, 'locationy': 30.066311666666667, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': False, 'angle': 360.0, 'direction': 'STOPPED', 'point1': [3356171.556563434, 3340701.2962962966], 'point2': [3356171.556563434, 3340701.2962962966], 'line1': [[3356171.556563434, 3340701.2962962966], [3356171.556563434, 3340701.2962962966]]}
2022-05-08 10:52:33,050 INFO {'vecid': 251096697943453, 'locationx': 31.27827, 'locationy': 30.065768333333335, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': False, 'angle': 360.0, 'direction': 'STOPPED', 'point1': [3356426.3958382932, 3340640.9259259263], 'point2': [3356426.3958382932, 3340640.9259259263], 'line1': [[3356426.3958382932, 3340640.9259259263], [3356426.3958382932, 3340640.9259259263]]}
2022-05-08 10:52:34,569 INFO {'vecid': 242606374551181, 'locationx': 31.275935, 'locationy': 30.066311666666667, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': False, 'angle': 360.0, 'direction': 'STOPPED', 'point1': [3356171.556563434, 3340701.2962962966], 'point2': [3356171.556563434, 3340701.2962962966], 'line1': [[3356171.556563434, 3340701.2962962966], [3356171.556563434, 3340701.2962962966]]}
2022-05-08 10:52:35,300 INFO {'vecid': 251096697943453, 'locationx': 31.27827, 'locationy': 30.065768333333335, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': False, 'angle': 360.0, 'direction': 'STOPPED', 'point1': [3356426.3958382932, 3340640.9259259263], 'point2': [3356426.3958382932, 3340640.9259259263], 'line1': [[3356426.3958382932, 3340640.9259259263], [3356426.3958382932, 3340640.9259259263]]}
2022-05-08 10:52:37,965 INFO {'vecid': 251096697943453, 'locationx': 18.156227541953324, 'locationy': 55.20972714628576, 'velocityx': -4.52892425308204, 'velocityy': 8.678152448489135, 'acceleration': 1.2446076713887821, 'stop': False, 'angle': 100.50239229181, 'direction': 'NORTHWEST', 'point1': [3356426.3958382932, 3340640.9259259263], 'point2': [1787711.082680648, 6134414.127365084], 'line1': [[3356426.3958382932, 3340640.9259259263], [1787711.082680648, 6134414.127365084]]}
2022-05-08 10:52:38,187 INFO {'vecid': 242606374551181, 'locationx': 31.275935, 'locationy': 30.066311666666667, 'velocityx': 0.0, 'velocityy': 0.0, 'acceleration': 0.0, 'stop': False, 'angle': 360.0, 'direction': 'STOPPED', 'point1': [3356171.556563434, 3340701.2962962966], 'point2': [3356171.556563434, 3340701.2962962966], 'line1': [[3356171.556563434, 3340701.2962962966], [3356171.556563434, 3340701.2962962966]]}
2022-05-08 10:52:41,432 INFO {'vecid': 242606374551181, 'locationx': 31.277107573328433, 'locationy': 30.066245202188025, 'velocityx': 0.00040841018033023637, 'velocityy': -2.3149741725414535e-05, 'acceleration': 5.705203727981047e-05, 'stop': False, 'angle': 249.16175633072578, 'direction': 'SOUTHEAST', 'point1': [3356171.556563434, 3340701.2962962966], 'point2': [3356297.9063909366, 3340693.9113542247], 'line1': [[3356171.556563434, 3340701.2962962966], [3356297.9063909366, 3340693.9113542247]]}
2022-05-08 10:52:46,327 INFO {'vecid': 242606374551181, 'locationx': 31.278278092994295, 'locationy': 30.06508681849736, 'velocityx': 0.0006914739904284029, 'velocityy': -0.00041675590048253103, 'acceleration': 8.669612965467873e-05, 'stop': False, 'angle': 191.30474815436673, 'direction': 'SOUTHEAST', 'point1': [3356297.9063909366, 3340693.9113542247], 'point2': [3356432.6252588253, 3340565.202055262], 'line1': [[3356297.9063909366, 3340693.9113542247], [3356432.6252588253, 3340565.202055262]]}
2022-05-08 10:52:50,596 INFO {'vecid': 242606374551181, 'locationx': 31.279120904894995, 'locationy': 30.06418925340735, 'velocityx': 0.0007672907112356604, 'velocityy': -0.0006007895792886328, 'acceleration': 7.230803087193523e-05, 'stop': False, 'angle': 192.25449349285782, 'direction': 'SOUTHEAST', 'point1': [3356432.6252588253, 3340565.202055262], 'point2': [3356530.126831786, 3340465.4726008167], 'line1': [[3356432.6252588253, 3340565.202055262], [3356530.126831786, 3340465.4726008167]]}
2022-05-08 10:52:55,140 INFO {'vecid': 242606374551181, 'locationx': 31.27965532610789, 'locationy': 30.06356150674943, 'velocityx': 0.0007036132123594207, 'velocityy': -0.0006283865266340987, 'acceleration': 3.911032337753494e-05, 'stop': False, 'angle': 190.2330554046713, 'direction': 'SOUTHEAST', 'point1': [3356530.126831786, 3340465.4726008167], 'point2': [3356592.413006422, 3340395.722972159], 'line1': [[3356530.126831786, 3340465.4726008167], [3356592.413006422, 3340395.722972159]]}
2022-05-08 10:52:58,154 INFO {'vecid': 242606374551181, 'locationx': 31.2799303299652, 'locationy': 30.063179923005567, 'velocityx': 0.0005624163311092555, 'velocityy': -0.0005548118877864821, 'acceleration': 1.199824440253065e-05, 'stop': False, 'angle': 189.21213817808064, 'direction': 'SOUTHEAST', 'point1': [3356592.413006422, 3340395.722972159], 'point2': [3356624.9250243264, 3340353.324778396], 'line1': [[3356592.413006422, 3340395.722972159], [3356624.9250243264, 3340353.324778396]]}
2022-05-08 10:53:02,260 INFO {'vecid': 242606374551181, 'locationx': 31.280009578208503, 'locationy': 30.062999697362834, 'velocityx': 0.0003933645216710124, 'velocityy': -0.00042894159948178063, 'acceleration': 2.733667540152757e-05, 'stop': False, 'angle': 192.1967338100228, 'direction': 'SOUTHEAST', 'point1': [3356624.9250243264, 3340353.324778396], 'point2': [3356634.8467640462, 3340333.2997069815], 'line1': [[3356624.9250243264, 3340353.324778396], [3356634.8467640462, 3340333.2997069815]]}
